periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-30T00:00:00Z,3,613
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-30T00:00:00Z,4,605
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-30T00:00:00Z,5,962
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-30T00:00:00Z,3,605
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-30T00:00:00Z,4,523
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-30T00:00:00Z,2,203
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-30T00:00:00Z,4,737
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-30T00:00:00Z,4,560
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-30T00:00:00Z,4,456
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-30T00:00:00Z,4,509
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-30T00:00:00Z,3,244
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-30T00:00:00Z,4,321
